route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3907_62432,7778019,4,Monkstown Avenue - Harristown,,3,,,
3907_62433,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
3907_62434,7778019,11,Sandyford Ind Estate - Wadelai Pk,,3,,,
3907_62435,7778019,13,Grange Castle - Harristown,,3,,,
3907_62436,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
3907_62437,7778019,15,Ballycullen Road - Clongriffin,,3,,,
3907_62438,7778019,16,Ballinteer - Dublin Airport,,3,,,
3907_62439,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
3907_62440,7778019,L53,Liffey Valley - Adamstown Stn,,3,,,
3907_62441,7778019,26,Fonthill Rd (Liffey Valley) - Merrion Square,,3,,,
3907_62442,7778019,27,Jobstown - Clare Hall,,3,,,
3907_62443,7778019,27X,Clare Hall - UCD Belfield,,3,,,
3907_62444,7778019,77X,Citywest – UCD Belfield,,3,,,
3907_62445,7778019,32X,UCD Belfield - Malahide,,3,,,
3907_62446,7778019,33,Balbriggan - Lower Abbey St,,3,,,
3907_62447,7778019,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
3907_62448,7778019,33D,Portrane - St Stephens Green,,3,,,
3907_62449,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
3907_62450,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
3907_62451,7778019,38,Damastown - Burlington Road,,3,,,
3907_62452,7778019,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
3907_62453,7778019,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
3907_62454,7778019,70,Dunboyne - Burlington Rd,,3,,,
3907_62455,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
3907_62456,7778019,70D,Dunboyne - DCU,,3,,,
3907_62457,7778019,39X,Ongar - Burlington Road,,3,,,
3907_62458,7778019,39,Ongar - Burlington Rd,,3,,,
3907_62459,7778019,39A,Ongar - UCD Belfield,,3,,,
3907_62460,7778019,40,Charlestown Shopping Centre - Earlsfort Terrace,,3,,,
3907_62461,7778019,40B,Toberburr - Parnel Street,,3,,,
3907_62462,7778019,40E,Broombridge Luas - Tyrrelstown,,3,,,
3907_62463,7778019,40D,Tyrrelstown - Parnell Street,,3,,,
3907_62464,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
3907_62465,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
3907_62466,7778019,41B,Rolestown - Lower Abbey Street,,3,,,
3907_62467,7778019,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
3907_62468,7778019,41X,Swords - UCD Belfield,,3,,,
3907_62469,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
3907_62470,7778019,43,Talbot Street – Swords Business Park,,3,,,
3907_62471,7778019,44D,Dundrum - OCS,,3,,,
3907_62472,7778019,44,Enniskerry - DCU,,3,,,
3907_62473,7778019,44B,Glencullen - Dundrum Luas,,3,,,
3907_62474,7778019,46A,Dun Laoghaire - Phoenix Park,,3,,,
3907_62475,7778019,46E,Mountjoy Square - Blackrock Station,,3,,,
3907_62476,7778019,7,Brides Glen Luas - Mountjoy Square,,3,,,
3907_62477,7778019,7A,Loughlinstown - Mountjoy Sq,,3,,,
3907_62478,7778019,7B,Shankhill - Mountjoy Square,,3,,,
3907_62479,7778019,7D,Dalkey - Mountjoy Square,,3,,,
3907_62480,7778019,7E,Mountjoy Square - Dalkey,,3,,,
3907_62481,7778019,47,Poolbeg Street – Belarmine,,3,,,
3907_62482,7778019,49,Tallaght (The Square) - Pearse St,,3,,,
3907_62483,7778019,51D,Aston Quay – Clondalkin,,3,,,
3907_62484,7778019,52,Intel - Ringsend,,3,,,
3907_62485,7778019,27A,Blunden Drive - Eden Quay,,3,,,
3907_62486,7778019,53,Dublin Ferryport - Talbot St,,3,,,
3907_62487,7778019,54A,Ellensborough - Pearse St,,3,,,
3907_62488,7778019,56A,Tallaght - Ringsend Rd,,3,,,
3907_62489,7778019,60,Forbes Street - Tallaght,,3,,,
3907_62490,7778019,65B,Poolbeg Street – Citywest,,3,,,
3907_62491,7778019,65,Poolbeg Street – Blessington/Ballymore,,3,,,
