route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3907_62511,270,3907_1,Shaw street,5897,0,3907_7778195_9001001,3907_1
3907_62511,270,3907_10,Shaw street,5957,0,3907_7778195_9001009,3907_1
3907_62511,61,3907_100,Shaw street,12521,0,3907_7778195_9001003,3907_1
3907_62507,270,3907_1000,Ashington,7652,1,3907_7778195_7122021,3907_33
3907_62464,270,3907_10000,Abbey St,6568,1,3907_7778195_5041013,3907_320
3907_62464,270,3907_10001,Abbey St,6727,1,3907_7778195_5041010,3907_318
3907_62464,270,3907_10003,Abbey St,6786,1,3907_7778195_5041017,3907_318
3907_62464,61,3907_10004,Abbey St,13267,1,3907_7778195_5041001,3907_318
3907_62464,270,3907_10006,Abbey St,6526,1,3907_7778195_5041018,3907_319
3907_62464,61,3907_10007,Abbey St,13240,1,3907_7778195_5041007,3907_318
3907_62464,270,3907_10008,Abbey St,6468,1,3907_7778195_5041019,3907_318
3907_62507,61,3907_1001,Ashington,14176,1,3907_7778195_7122006,3907_33
3907_62464,270,3907_10010,Abbey St,6743,1,3907_7778195_5041001,3907_318
3907_62464,61,3907_10011,Abbey St,13060,1,3907_7778195_5041003,3907_318
3907_62464,270,3907_10013,Abbey St,6757,1,3907_7778195_5041003,3907_318
3907_62464,61,3907_10014,Abbey St,13148,1,3907_7778195_5041004,3907_318
3907_62464,270,3907_10015,Abbey St,6862,1,3907_7778195_5041009,3907_318
3907_62464,270,3907_10017,Abbey St,6582,1,3907_7778195_5041011,3907_318
3907_62464,61,3907_10018,Abbey St,13269,1,3907_7778195_5041001,3907_319
3907_62507,270,3907_1002,Ashington,7721,1,3907_7778195_7122006,3907_33
3907_62464,270,3907_10020,Abbey St,6656,1,3907_7778195_5041015,3907_318
3907_62464,61,3907_10021,Abbey St,13362,1,3907_7778195_5041008,3907_318
3907_62464,270,3907_10022,Abbey St,6788,1,3907_7778195_5041017,3907_318
3907_62464,61,3907_10024,Abbey St,13242,1,3907_7778195_5041007,3907_318
3907_62464,270,3907_10025,Abbey St,6528,1,3907_7778195_5041018,3907_318
3907_62464,61,3907_10026,Abbey St,13278,1,3907_7778195_5041011,3907_318
3907_62464,270,3907_10028,Abbey St,6470,1,3907_7778195_5041019,3907_318
3907_62464,61,3907_10029,Abbey St,13216,1,3907_7778195_5041009,3907_318
3907_62464,270,3907_10030,Abbey St,6745,1,3907_7778195_5041001,3907_318
3907_62464,61,3907_10032,Abbey St,13150,1,3907_7778195_5041004,3907_318
3907_62464,270,3907_10033,Abbey St,6759,1,3907_7778195_5041003,3907_318
3907_62464,61,3907_10034,Abbey St,13123,1,3907_7778195_5041006,3907_318
3907_62464,270,3907_10036,Abbey St,6535,1,3907_7778195_5041021,3907_318
3907_62464,61,3907_10037,Abbey St,13376,1,3907_7778195_5041016,3907_318
3907_62464,270,3907_10038,Abbey St,6584,1,3907_7778195_5041011,3907_318
3907_62507,270,3907_1004,Ashington,7879,1,3907_7778195_7122008,3907_33
3907_62464,61,3907_10040,Abbey St,13261,1,3907_7778195_5041010,3907_318
3907_62464,270,3907_10041,Abbey St,6769,1,3907_7778195_5041022,3907_318
3907_62464,61,3907_10042,Abbey St,13050,1,3907_7778195_5041012,3907_318
3907_62464,270,3907_10044,Abbey St,6833,1,3907_7778195_5041024,3907_318
3907_62464,61,3907_10045,Abbey St,13356,1,3907_7778195_5041002,3907_318
3907_62464,270,3907_10046,Abbey St,6428,1,3907_7778195_5041014,3907_318
3907_62464,61,3907_10048,Abbey St,13064,1,3907_7778195_5041003,3907_318
3907_62464,270,3907_10049,Abbey St,6472,1,3907_7778195_5041019,3907_318
3907_62507,61,3907_1005,Ashington,14277,1,3907_7778195_7122009,3907_33
3907_62464,61,3907_10050,Abbey St,13218,1,3907_7778195_5041009,3907_318
3907_62464,270,3907_10052,Abbey St,6747,1,3907_7778195_5041001,3907_318
3907_62464,61,3907_10053,Abbey St,13393,1,3907_7778195_5041018,3907_318
3907_62464,270,3907_10054,Abbey St,6761,1,3907_7778195_5041003,3907_318
3907_62464,61,3907_10056,Abbey St,13340,1,3907_7778195_5041005,3907_318
3907_62464,270,3907_10057,Abbey St,6537,1,3907_7778195_5041021,3907_318
3907_62464,61,3907_10058,Abbey St,13378,1,3907_7778195_5041016,3907_318
3907_62507,270,3907_1006,Ashington,7859,1,3907_7778195_7122017,3907_33
3907_62464,270,3907_10060,Abbey St,6586,1,3907_7778195_5041011,3907_318
3907_62464,61,3907_10061,Abbey St,13236,1,3907_7778195_5041020,3907_318
3907_62464,270,3907_10062,Abbey St,6771,1,3907_7778195_5041022,3907_318
3907_62464,61,3907_10064,Abbey St,13415,1,3907_7778195_5041019,3907_318
3907_62464,270,3907_10065,Abbey St,2656,1,3907_7778195_812029,3907_318
3907_62464,270,3907_10066,Abbey St,2453,1,3907_7778195_812026,3907_318
3907_62464,61,3907_10067,Abbey St,13052,1,3907_7778195_5041012,3907_318
3907_62464,270,3907_10069,Abbey St,6835,1,3907_7778195_5041024,3907_318
3907_62464,61,3907_10070,Abbey St,13282,1,3907_7778195_5041011,3907_318
