service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20,0,0,0,0,0,1,0,20240309,20241207
56,0,0,0,0,1,0,0,20240308,20240308
57,0,0,0,1,0,0,0,20240307,20240307
58,0,1,0,0,0,0,0,20240312,20240312
59,0,0,0,0,0,1,0,20240309,20240309
81,0,0,0,0,0,0,1,20240310,20240310
162,0,0,0,0,0,0,1,20240317,20240317
318,0,0,0,0,0,0,1,20240310,20241201
319,1,0,0,0,0,0,0,20240318,20240318
320,1,1,1,1,1,0,0,20240307,20241206
321,0,0,0,0,0,1,0,20240309,20241207
322,0,0,0,0,0,0,0,20240330,20240330
323,0,0,0,0,0,0,0,20240504,20240504
324,0,0,0,0,0,0,0,20240518,20240518
325,0,0,0,0,0,0,1,20240310,20241201
326,0,0,0,0,0,0,0,20240331,20240331
327,0,0,0,0,0,0,0,20240401,20240401
328,0,0,0,0,0,0,0,20240505,20240505
329,0,0,0,0,0,0,0,20240506,20240506
330,0,0,0,0,0,0,0,20240609,20240609
331,0,0,0,0,0,0,0,20240414,20240414
332,1,1,1,1,1,0,0,20240307,20241206
333,0,0,0,0,0,1,0,20240316,20240316
334,0,0,0,0,0,1,0,20240309,20241207
335,0,0,0,0,0,0,0,20240323,20240323
336,0,0,0,0,0,1,0,20240309,20241207
337,0,0,0,0,0,1,0,20240309,20241207
338,0,0,0,0,0,1,0,20240309,20241207
339,1,1,1,1,1,0,0,20240307,20241206
340,0,0,0,0,0,0,0,20240326,20240326
341,0,0,0,0,0,0,0,20240402,20240402
342,1,1,1,1,1,0,0,20240307,20241206
343,1,1,1,1,1,1,0,20240307,20241207
344,0,0,0,0,0,0,1,20240310,20241201
345,1,1,1,1,1,0,0,20240307,20241206
346,1,1,1,1,1,1,0,20240307,20241207
347,0,0,0,0,0,1,0,20240309,20241207
348,1,1,1,1,1,1,0,20240307,20241207
349,0,0,0,0,1,0,0,20240308,20241206
350,1,1,1,1,0,1,0,20240307,20241207
351,1,1,1,1,0,1,0,20240307,20241207
352,1,1,1,1,0,0,0,20240307,20241205
353,0,0,0,0,0,0,0,20240603,20240603
354,0,0,0,0,0,0,0,20240805,20240805
355,0,0,0,0,0,0,0,20241028,20241028
356,1,1,1,1,0,0,0,20240307,20241205
357,0,0,0,0,0,0,0,20240329,20240329
358,0,0,0,0,0,0,1,20240310,20241201
359,1,1,1,1,1,1,0,20240307,20241207
360,1,1,1,1,1,1,0,20240309,20241207
361,1,1,1,1,0,0,0,20240311,20240314
362,0,0,0,0,1,0,0,20240315,20240315
363,1,1,1,1,1,1,0,20240307,20241207
364,1,1,1,1,1,1,0,20240307,20241207
365,1,1,1,1,1,1,0,20240307,20241207
366,1,1,1,1,1,1,0,20240307,20241207
367,1,0,0,0,0,0,0,20240311,20241202
368,0,1,1,1,1,0,0,20240307,20241206
369,0,0,0,0,1,1,0,20240308,20241207
370,1,1,1,1,0,1,0,20240307,20241207
371,1,1,1,1,1,1,0,20240307,20241207
