route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3930_62708,7778017,rail,Belfast - Dublin,,2,,,
3930_62709,7778017,rail,Dublin - Belfast,,2,,,
3930_62710,7778017,InterCity,Dublin - Cork,,2,,,
3930_62712,7778017,rail,Dublin - Tralee,,2,,,
3930_62714,7778017,rail,Dublin - Limerick,,2,,,
3930_62716,7778017,rail,Limerick - Galway,,2,,,
3930_62717,7778017,rail,Waterford - Limerick,,2,,,
3930_62718,7778017,rail,Limerick - Ballybrophy,,2,,,
3930_62721,7778017,rail,Dublin - Waterford,,2,,,
3930_62724,7778017,rail,Dublin - Europort,,2,,,
3930_62726,7778017,rail,Dublin - Westport,,2,,,
3930_62727,7778017,rail,Dublin - Galway,,2,,,
3930_62730,7778017,rail,Dublin - Sligo,,2,,,
3930_62732,7778017,Commuter,Dublin - Portlaoise,,2,,,
3930_62733,7778017,rail,Dublin - Maynooth,,2,,,
3930_62734,7778017,rail,Mallow - Cobh,,2,,,
3930_62735,7778017,rail,Dublin - Drogheda/Dundalk,,2,,,
3930_62736,7778017,DART,Bray - Howth,,2,,,
3930_62742,7778017,rail,Dublin - Limerick via Nenagh,,2,,,
