route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3930_62736,318,3930_1,Dublin Connolly,E713,1,3930_7778018_Txc85E11688-C6EF-404E-86FD-BD957117BF61,3930_11
3930_62736,322,3930_100,Grand Canal Dock,E507,1,3930_7778018_TxcF41AC8E0-999C-42EC-B058-F1EEDA67E878,3930_14
3930_62736,322,3930_1000,Grand Canal Dock,E552,1,3930_7778018_Txc2473F2CD-8C07-49BE-BBD1-D704D4F29270,3930_15
3930_62736,323,3930_1001,Grand Canal Dock,E552,1,3930_7778018_Txc53651571-8EA7-4C11-849F-64BB345AE522,3930_15
3930_62736,324,3930_1002,Grand Canal Dock,E552,1,3930_7778018_Txc573F5274-20BE-4340-8BE0-63A8360E2A7C,3930_15
3930_62736,326,3930_1006,Grand Canal Dock,E531,1,3930_7778018_Txc72C37767-EC71-43E0-8798-4B92C1922034,3930_15
3930_62736,327,3930_1007,Grand Canal Dock,E531,1,3930_7778018_Txc31658207-A580-4A9D-937F-ADABBDA0343B,3930_15
3930_62736,328,3930_1008,Grand Canal Dock,E531,1,3930_7778018_TxcA1714D36-2E98-4341-BAE3-5888BC6CA06B,3930_15
3930_62736,329,3930_1009,Grand Canal Dock,E531,1,3930_7778018_TxcC19A630F-3312-4274-A053-FBF37819A3E9,3930_15
3930_62736,323,3930_101,Grand Canal Dock,E507,1,3930_7778018_Txc5D915391-9C8C-4DA5-B3A7-FE91245D997B,3930_14
3930_62736,330,3930_1010,Grand Canal Dock,E531,1,3930_7778018_Txc610959F5-E1CA-434B-9E09-886A6322486E,3930_15
3930_62736,331,3930_1011,Dun Laoghaire (Mallin),E431,1,3930_7778018_Txc05867419-F42F-469E-838C-AF7EB2DC15E8,3930_23
3930_62736,320,3930_1012,Bray (Daly),E258,1,3930_7778018_Txc6C4DA71E-D0DD-42D3-8F0C-C842A7922412,3930_3
3930_62736,321,3930_1013,Bray (Daly),E239,1,3930_7778018_Txc680A1971-0050-435D-862F-0AFF79D1F3F2,3930_9
3930_62736,318,3930_1014,Bray (Daly),E222,1,3930_7778018_TxcEB3AA5CF-0235-4BA1-94DA-EF81E21E862E,3930_4
3930_62736,324,3930_102,Grand Canal Dock,E507,1,3930_7778018_TxcACB0E599-CA6F-47DA-ADEC-964107B3D0E6,3930_14
3930_62736,322,3930_1021,Grand Canal Dock,E553,1,3930_7778018_Txc6B2B4700-98F1-4B25-B42C-3586398923E5,3930_14
3930_62736,323,3930_1022,Grand Canal Dock,E553,1,3930_7778018_TxcAAC90FB9-48A7-4407-8266-1431D7E3F40C,3930_14
3930_62736,324,3930_1023,Grand Canal Dock,E553,1,3930_7778018_Txc55C22C6A-FC30-4683-AF77-CFA86BEDA5FE,3930_14
3930_62736,320,3930_1024,Greystones,E130,1,3930_7778018_TxcDAC2D4EA-1CD3-46A1-B664-CA0FCB583E20,3930_2
3930_62736,318,3930_1025,Greystones,E113,1,3930_7778018_Txc43EFBDC0-1D86-49B0-AFFF-C6E760D1ADA5,3930_6
3930_62736,322,3930_1029,Grand Canal Dock,E554,1,3930_7778018_TxcBBD69A34-9BBD-4A49-8CA6-2F967BB9EDB2,3930_15
3930_62736,320,3930_103,Greystones,E106,1,3930_7778018_Txc6C1B6BAF-A7A9-4AAB-8483-DF0A5B099616,3930_1
3930_62736,323,3930_1030,Grand Canal Dock,E554,1,3930_7778018_Txc111B443F-C35E-4E40-A22D-79EAEEA532F2,3930_15
3930_62736,324,3930_1031,Grand Canal Dock,E554,1,3930_7778018_Txc117E7DFC-E78C-4BE0-A6B5-FBABE7F12508,3930_15
3930_62736,321,3930_1032,Bray (Daly),E240,1,3930_7778018_Txc183B1760-A9FA-4A72-ABAE-C5C84C2A253F,3930_4
3930_62736,318,3930_1034,Greystones,E114,1,3930_7778018_Txc9FD7C9AD-1BBF-4956-9294-B22F06F04ABA,3930_1
3930_62736,326,3930_1041,Grand Canal Dock,E532,1,3930_7778018_Txc2BA81FDD-7F05-439F-BF04-DFC2FF0934B5,3930_14
3930_62736,327,3930_1042,Grand Canal Dock,E532,1,3930_7778018_Txc9F13F51E-8EF9-41B6-B39A-1C3661105B83,3930_14
3930_62736,328,3930_1043,Grand Canal Dock,E532,1,3930_7778018_TxcCCCAE65F-D64C-4A22-B375-151320F2714D,3930_14
3930_62736,329,3930_1044,Grand Canal Dock,E532,1,3930_7778018_Txc889E152F-0159-4E68-801D-519350C5145C,3930_14
3930_62736,330,3930_1045,Grand Canal Dock,E532,1,3930_7778018_Txc9F3712CF-9F5A-4853-9702-06C6A4BBF1CA,3930_14
3930_62736,331,3930_1046,Dun Laoghaire (Mallin),E432,1,3930_7778018_Txc1A858992-0E5B-4026-AC42-234FBE3910E7,3930_22
3930_62736,339,3930_1047,Bray (Daly),E259,1,3930_7778018_Txc4067CF9A-8EEB-4947-A2A8-B46E72D82880,3930_3
3930_62736,340,3930_1048,Bray (Daly),E259,1,3930_7778018_Txc44EF2FCD-0AA8-40C3-8A0A-16CA49932EFE,3930_29
3930_62736,321,3930_1049,Greystones,E114,1,3930_7778018_Txc5846B5D4-825A-48BC-AD41-69EC0A19A412,3930_2
3930_62736,322,3930_1053,Grand Canal Dock,E555,1,3930_7778018_Txc1C96BA6C-8F5D-44D0-8702-F5143EE7F022,3930_15
3930_62736,323,3930_1054,Grand Canal Dock,E555,1,3930_7778018_TxcDBF748CD-F035-4015-9CD0-600859CAF9C1,3930_15
3930_62736,324,3930_1055,Grand Canal Dock,E555,1,3930_7778018_TxcCCA0BEA6-4B8E-46DD-AE87-FAC885A45F36,3930_15
3930_62736,318,3930_1056,Bray (Daly),E223,1,3930_7778018_TxcF258DFC3-9F17-476C-9072-235DAA413FC9,3930_4
3930_62736,322,3930_106,Grand Canal Dock,E508,1,3930_7778018_Txc2035776D-6E44-4E47-A138-E6BF35E1E5F0,3930_15
3930_62736,326,3930_1063,Grand Canal Dock,E533,1,3930_7778018_TxcC6A59745-7B28-4835-8BC7-D4468600FBDF,3930_15
3930_62736,327,3930_1064,Grand Canal Dock,E533,1,3930_7778018_TxcED7997F7-CD90-4295-AF6D-B11292CF8D65,3930_15
3930_62736,328,3930_1065,Grand Canal Dock,E533,1,3930_7778018_Txc9A842AC2-8E62-4EDA-B15D-1CB13ECDD6F0,3930_15
3930_62736,329,3930_1066,Grand Canal Dock,E533,1,3930_7778018_TxcCCC0A436-8F85-44A2-829A-A24E8BE62389,3930_15
3930_62736,330,3930_1067,Grand Canal Dock,E533,1,3930_7778018_Txc5ACB30B2-CD7F-402C-8CB2-F32BC53808FA,3930_15
3930_62736,331,3930_1068,Dun Laoghaire (Mallin),E433,1,3930_7778018_Txc5D73CF2C-2995-4868-B770-06BDD6197CB7,3930_23
3930_62736,339,3930_1069,Greystones,E131,1,3930_7778018_TxcED863F9F-0F72-495B-A4B8-45D0268212C9,3930_2
3930_62736,323,3930_107,Grand Canal Dock,E508,1,3930_7778018_TxcF80AC092-1F3E-492F-8DA0-6FA061A4550E,3930_15
3930_62736,340,3930_1070,Greystones,E131,1,3930_7778018_TxcD1788930-4607-4687-9437-810DA6017B72,3930_28
3930_62736,321,3930_1071,Bray (Daly),E241,1,3930_7778018_TxcE5C557EE-E748-4314-8A32-06FF4129137A,3930_3
3930_62736,322,3930_1075,Grand Canal Dock,E556,1,3930_7778018_Txc0C4A9A21-484E-4FF6-A650-711FC5C55098,3930_14
3930_62736,323,3930_1076,Grand Canal Dock,E556,1,3930_7778018_TxcB06B1310-5E93-456F-B210-5DDA1A2250AC,3930_14
3930_62736,324,3930_1077,Grand Canal Dock,E556,1,3930_7778018_Txc17754D7A-CC45-4CDA-A11F-6794ADB7E13C,3930_14
3930_62736,339,3930_1078,Bray (Daly),E260,1,3930_7778018_TxcBB7D4CCC-6CBA-45B1-8EB2-5F342E0CAE87,3930_3
3930_62736,318,3930_1079,Greystones,E115,1,3930_7778018_Txc9AC46251-9124-40D0-9F46-45FC5C9AF3FC,3930_2
3930_62736,324,3930_108,Grand Canal Dock,E508,1,3930_7778018_Txc105A5220-32CB-48DF-8F20-00AAF03B241F,3930_15
3930_62736,326,3930_1085,Grand Canal Dock,E534,1,3930_7778018_Txc0927C92B-B075-47E0-80C9-F22BEA847E83,3930_15
3930_62736,327,3930_1086,Grand Canal Dock,E534,1,3930_7778018_Txc1B3B1A44-9561-49E8-B7D9-CF9FC3A5B50B,3930_15
3930_62736,328,3930_1087,Grand Canal Dock,E534,1,3930_7778018_TxcD041D4E2-258F-4E21-B563-BBC050B0BC48,3930_15
3930_62736,329,3930_1088,Grand Canal Dock,E534,1,3930_7778018_Txc91BE933A-0F5E-4ED7-8151-C254404DB5D5,3930_15
3930_62736,330,3930_1089,Grand Canal Dock,E534,1,3930_7778018_TxcE94BF063-1154-41FD-99F4-F8A14F47CED7,3930_15
3930_62736,320,3930_109,Bray (Daly),E212,1,3930_7778018_Txc2050A8A9-7559-4997-BC51-E3C5BCE5B38A,3930_4
3930_62736,340,3930_1090,Bray (Daly),E260,1,3930_7778018_TxcAD5DFA0E-FE97-4A70-A21B-41790242B154,3930_29
3930_62736,331,3930_1091,Dun Laoghaire (Mallin),E434,1,3930_7778018_TxcA4AAE647-FB46-4A1F-ABAD-C79228DAE604,3930_23
3930_62736,321,3930_1092,Bray (Daly),E242,1,3930_7778018_Txc188F55A8-B1A9-45E7-9FB0-4CB6858F05A4,3930_4
3930_62736,322,3930_1096,Grand Canal Dock,E557,1,3930_7778018_TxcFD54CBD2-46DB-4AAD-BF6B-D1D7955FFA31,3930_15
3930_62736,323,3930_1097,Grand Canal Dock,E557,1,3930_7778018_Txc8AAE6700-4343-43F4-A9D6-DFDCBA8A9023,3930_15
