route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
3778_48886,129,3778_1,Brides Glen,193.MF-BH.93-GRN-y11,0,3778_7778148_Txc104989,3778_1
3778_48886,129,3778_10,Brides Glen,196.MF-BH.93-GRN-y11,0,3778_7778148_Txc104998,3778_2
3778_48886,130,3778_1001,Sandyford,241.Sat.93-GRN-y11-1,0,3778_7778148_Txc105158,3778_4
3778_48886,131,3778_1002,Sandyford,241.gf.93-GRN-y11-16,0,3778_7778148_Txc105159,3778_4
3778_48886,129,3778_1003,Sandyford,354.MF-BH.93-GRN-y11,0,3778_7778148_Txc105380,3778_4
3778_48886,130,3778_1007,Brides Glen,240.Sat.93-GRN-y11-1,0,3778_7778148_Txc105155,3778_5
3778_48886,131,3778_1008,Brides Glen,240.gf.93-GRN-y11-16,0,3778_7778148_Txc105156,3778_5
3778_48886,129,3778_101,Sandyford,216.MF-BH.93-GRN-y11,0,3778_7778148_Txc105070,3778_7
3778_48886,129,3778_1012,Brides Glen,353.MF-BH.93-GRN-y11,0,3778_7778148_Txc105379,3778_5
3778_48886,132,3778_1013,Brides Glen,142.SuBH.93-GRN-y11-,0,3778_7778148_Txc104802,3778_1
3778_48886,129,3778_1018,Sandyford,356.MF-BH.93-GRN-y11,0,3778_7778148_Txc105382,3778_4
3778_48886,130,3778_1019,Sandyford,243.Sat.93-GRN-y11-1,0,3778_7778148_Txc105164,3778_4
3778_48886,130,3778_102,Brides Glen,144.Sat.93-GRN-y11-1,0,3778_7778148_Txc104809,3778_1
3778_48886,131,3778_1020,Sandyford,243.gf.93-GRN-y11-16,0,3778_7778148_Txc105165,3778_4
3778_48886,130,3778_1024,Brides Glen,242.Sat.93-GRN-y11-1,0,3778_7778148_Txc105161,3778_5
3778_48886,131,3778_1025,Brides Glen,242.gf.93-GRN-y11-16,0,3778_7778148_Txc105162,3778_5
3778_48886,129,3778_1026,Brides Glen,355.MF-BH.93-GRN-y11,0,3778_7778148_Txc105381,3778_5
3778_48886,131,3778_103,Brides Glen,144.gf.93-GRN-y11-16,0,3778_7778148_Txc104811,3778_1
3778_48886,132,3778_1030,Brides Glen,143.SuBH.93-GRN-y11-,0,3778_7778148_Txc104806,3778_1
3778_48886,129,3778_1035,Sandyford,358.MF-BH.93-GRN-y11,0,3778_7778148_Txc105384,3778_4
3778_48886,130,3778_1036,Sandyford,245.Sat.93-GRN-y11-1,0,3778_7778148_Txc105170,3778_4
3778_48886,131,3778_1037,Sandyford,245.gf.93-GRN-y11-16,0,3778_7778148_Txc105171,3778_4
3778_48886,129,3778_1040,Brides Glen,357.MF-BH.93-GRN-y11,0,3778_7778148_Txc105383,3778_5
3778_48886,130,3778_1041,Brides Glen,244.Sat.93-GRN-y11-1,0,3778_7778148_Txc105167,3778_5
3778_48886,131,3778_1042,Brides Glen,244.gf.93-GRN-y11-16,0,3778_7778148_Txc105168,3778_5
3778_48886,132,3778_1045,Brides Glen,144.SuBH.93-GRN-y11-,0,3778_7778148_Txc104810,3778_1
3778_48886,129,3778_1050,Sandyford,360.MF-BH.93-GRN-y11,0,3778_7778148_Txc105390,3778_4
3778_48886,130,3778_1051,Sandyford,247.Sat.93-GRN-y11-1,0,3778_7778148_Txc105176,3778_4
3778_48886,131,3778_1052,Sandyford,247.gf.93-GRN-y11-16,0,3778_7778148_Txc105177,3778_4
3778_48886,129,3778_1055,Brides Glen,359.MF-BH.93-GRN-y11,0,3778_7778148_Txc105385,3778_5
3778_48886,130,3778_1056,Brides Glen,246.Sat.93-GRN-y11-1,0,3778_7778148_Txc105173,3778_5
3778_48886,131,3778_1057,Brides Glen,246.gf.93-GRN-y11-16,0,3778_7778148_Txc105174,3778_5
3778_48886,132,3778_1060,Brides Glen,145.SuBH.93-GRN-y11-,0,3778_7778148_Txc104814,3778_1
3778_48886,129,3778_1065,Sandyford,362.MF-BH.93-GRN-y11,0,3778_7778148_Txc105392,3778_4
3778_48886,130,3778_1066,Sandyford,249.Sat.93-GRN-y11-1,0,3778_7778148_Txc105182,3778_4
3778_48886,131,3778_1067,Sandyford,249.gf.93-GRN-y11-16,0,3778_7778148_Txc105183,3778_4
3778_48886,129,3778_1068,Brides Glen,361.MF-BH.93-GRN-y11,0,3778_7778148_Txc105391,3778_5
3778_48886,129,3778_107,Sandyford,220.MF-BH.93-GRN-y11,0,3778_7778148_Txc105086,3778_4
3778_48886,132,3778_1071,Brides Glen,146.SuBH.93-GRN-y11-,0,3778_7778148_Txc104818,3778_1
3778_48886,129,3778_1076,Sandyford,364.MF-BH.93-GRN-y11,0,3778_7778148_Txc105394,3778_4
3778_48886,130,3778_1077,Brides Glen,248.Sat.93-GRN-y11-1,0,3778_7778148_Txc105179,3778_5
3778_48886,131,3778_1078,Brides Glen,248.gf.93-GRN-y11-16,0,3778_7778148_Txc105180,3778_5
3778_48886,129,3778_108,Brides Glen,219.MF-BH.93-GRN-y11,0,3778_7778148_Txc105079,3778_5
3778_48886,129,3778_1081,Brides Glen,363.MF-BH.93-GRN-y11,0,3778_7778148_Txc105393,3778_5
3778_48886,130,3778_1082,Sandyford,251.Sat.93-GRN-y11-1,0,3778_7778148_Txc105192,3778_4
3778_48886,131,3778_1083,Sandyford,251.gf.93-GRN-y11-16,0,3778_7778148_Txc105193,3778_4
3778_48886,132,3778_1086,Brides Glen,147.SuBH.93-GRN-y11-,0,3778_7778148_Txc104822,3778_1
3778_48886,129,3778_109,Sandyford,222.MF-BH.93-GRN-y11,0,3778_7778148_Txc105092,3778_4
3778_48886,129,3778_1091,Sandyford,366.MF-BH.93-GRN-y11,0,3778_7778148_Txc105396,3778_4
3778_48886,130,3778_1092,Brides Glen,250.Sat.93-GRN-y11-1,0,3778_7778148_Txc105189,3778_5
3778_48886,131,3778_1093,Brides Glen,250.gf.93-GRN-y11-16,0,3778_7778148_Txc105190,3778_5
3778_48886,129,3778_1096,Brides Glen,365.MF-BH.93-GRN-y11,0,3778_7778148_Txc105395,3778_5
3778_48886,132,3778_1097,Brides Glen,148.SuBH.93-GRN-y11-,0,3778_7778148_Txc104826,3778_1
3778_48886,130,3778_11,Brides Glen,135.Sat.93-GRN-y11-1,0,3778_7778148_Txc104769,3778_2
3778_48886,132,3778_110,Brides Glen,85.SuBH.93-GRN-y11-1,0,3778_7778148_Txc105628,3778_1
3778_48886,129,3778_1102,Sandyford,368.MF-BH.93-GRN-y11,0,3778_7778148_Txc105398,3778_4
3778_48886,130,3778_1103,Sandyford,253.Sat.93-GRN-y11-1,0,3778_7778148_Txc105198,3778_4
3778_48886,131,3778_1104,Sandyford,253.gf.93-GRN-y11-16,0,3778_7778148_Txc105199,3778_4
3778_48886,130,3778_1107,Brides Glen,252.Sat.93-GRN-y11-1,0,3778_7778148_Txc105195,3778_5
3778_48886,131,3778_1108,Brides Glen,252.gf.93-GRN-y11-16,0,3778_7778148_Txc105196,3778_5
3778_48886,129,3778_1111,Brides Glen,367.MF-BH.93-GRN-y11,0,3778_7778148_Txc105397,3778_5
3778_48886,132,3778_1112,Brides Glen,149.SuBH.93-GRN-y11-,0,3778_7778148_Txc104830,3778_1
3778_48886,129,3778_1113,Brides Glen,370.MF-BH.93-GRN-y11,0,3778_7778148_Txc105404,3778_1
3778_48886,130,3778_1118,Sandyford,255.Sat.93-GRN-y11-1,0,3778_7778148_Txc105204,3778_4
3778_48886,131,3778_1119,Sandyford,255.gf.93-GRN-y11-16,0,3778_7778148_Txc105205,3778_4
3778_48886,129,3778_1122,Sandyford,369.MF-BH.93-GRN-y11,0,3778_7778148_Txc105399,3778_8
3778_48886,130,3778_1123,Brides Glen,254.Sat.93-GRN-y11-1,0,3778_7778148_Txc105201,3778_5
3778_48886,131,3778_1124,Brides Glen,254.gf.93-GRN-y11-16,0,3778_7778148_Txc105202,3778_5
3778_48886,132,3778_1127,Brides Glen,150.SuBH.93-GRN-y11-,0,3778_7778148_Txc104838,3778_1
3778_48886,129,3778_1128,Brides Glen,372.MF-BH.93-GRN-y11,0,3778_7778148_Txc105406,3778_1
3778_48886,130,3778_1133,Sandyford,257.Sat.93-GRN-y11-1,0,3778_7778148_Txc105210,3778_4
3778_48886,131,3778_1134,Sandyford,257.gf.93-GRN-y11-16,0,3778_7778148_Txc105211,3778_4
